id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23698303,Modern 1 Bed - Clifton,125651447,Charlie,,Clifton,51.45048,-2.61651,Entire home/apt,70,1,4,2018-07-12,0.28,71,0
23708058,Light and Quirky Upstiars Flat,161472854,Dee,,Easton,51.46445,-2.55933,Entire home/apt,50,1,3,2018-05-27,0.21,1,0
23709418,★ Stunning Loft Apartment ★ City Centre,31702286,Felix,,Hotwells & Harbourside,51.45331,-2.60286,Entire home/apt,99,1,62,2019-05-06,5.08,1,137
23713853,"Airy study with large daybed- Easton, Bristol",155214956,Justine,,Easton,51.46254,-2.56367,Private room,25,1,1,2018-04-02,0.07,2,0
23723488,Top floor 2-bed Flat in Clifton+Parking,109861657,Phil,,Clifton,51.46406,-2.61944,Entire home/apt,59,365,9,2018-04-29,0.63,1,364
23735138,Large 5 bedroom Victorian house - very central,7752331,Narzanin,,Ashley,51.46546,-2.58816,Entire home/apt,150,3,1,2018-06-12,0.09,2,17
23749317,TOTTERDOWN WOMEN ONLY near BTM SMALL SINGLE Room,171160433,Tracey,,Windmill Hill,51.44205,-2.581,Private room,28,1,14,2019-04-18,1.00,2,0
23758696,Large Garden apartment - Clifton,125651447,Charlie,,Clifton,51.4563,-2.61123,Entire home/apt,100,1,19,2019-04-20,1.33,71,321
23759152,"Cosy, quiet flat in beautiful, historic building",46233545,John,,Central,51.45614,-2.5982,Entire home/apt,85,1,35,2019-04-20,2.48,1,61
23761061,Sunny double nr lively Glos Rd (no extra charges),39420240,Tulin,,Bishopston & Ashley Down,51.48138,-2.58233,Private room,29,1,16,2019-05-05,1.14,2,11
23762882,"Singe room in quiet, stylish home. Bristol.",178234532,Nat,,Easton,51.46231,-2.55821,Private room,20,2,29,2019-05-01,3.35,1,341
23763422,Lorna’s: light and spacious loft on Cheltenham Rd,53706424,Samaya,,Cotham,51.4688,-2.59283,Entire home/apt,100,2,34,2019-05-06,2.38,1,173
23769900,Superb 2-bed City Centre house,111791047,Kenzie,,Lawrence Hill,51.45599,-2.58084,Entire home/apt,89,2,90,2019-05-04,6.60,4,4
23774355,Beautiful room with ensuite in Victorian house,7752331,Narzanin,,Ashley,51.46615,-2.58633,Private room,40,1,8,2019-02-03,0.56,2,0
23779479,Small home where you can relax.and enjoy yourself,67905653,Margaret,,Hartcliffe & Withywood,51.4082,-2.62373,Private room,20,1,33,2019-05-06,2.41,2,306
23798353,"Ensuite Room , Beautiful Views, South Bristol",10108623,Tony,,Bedminster,51.42976,-2.62169,Private room,26,1,17,2018-11-02,1.40,1,0
23800673,Jazzy apartment in famous Granary building,178604175,Alistair,,Central,51.45147,-2.59437,Entire home/apt,105,2,86,2019-05-17,6.19,1,0
23801196,Easton's Little Secret,90006015,Alistar,,Easton,51.46547,-2.56192,Entire home/apt,45,1,61,2019-05-17,5.32,1,107
23801290,The Crafty Cow-Double Comfort Ensuite with Shower,178585719,Graham,,Horfield,51.49137,-2.58421,Private room,78,1,1,2019-03-02,0.38,2,313
23801935,The Crafty Cow-Double Standard Ensuite with Shower,178585719,Graham,,Horfield,51.49197,-2.58182,Private room,88,1,1,2018-09-15,0.12,2,355
